	ncore	nthread	stime
174	22	1	52.09155488014221
175	22	2	43.61584520339966
176	23	1	49.37007403373718
177	23	2	41.14645862579346
178	24	1	48.84875178337097
179	24	2	40.88739538192749
180	25	1	47.44244647026062
181	25	2	39.19643211364746
182	26	1	46.52561831474304
183	27	1	45.70656681060791
184	28	1	44.35144352912903
185	29	1	43.63795518875122
186	30	1	40.771185874938965
187	31	1	37.30753254890442
188	32	1	36.84874606132507
189	33	1	36.17754864692688
190	34	1	35.95599174499512
191	35	1	35.66508173942566
192	36	1	34.89972805976868
193	37	1	34.66329002380371
194	38	1	34.18939471244812
195	39	1	33.97364258766174
196	40	1	34.255990743637085
197	41	1	34.35748505592346
198	42	1	34.162028074264526
199	43	1	34.025214195251465
200	44	1	34.62503504753113
201	45	1	34.484736919403076
202	46	1	34.120360374450684
203	47	1	34.600740909576416
204	48	1	34.92649817466736
205	49	1	34.98972272872925
206	50	1	34.290266036987305
